uuid,day_type,quarter_hour_of_day,from,to,probability
14315494-e9d3-4491-9b09-0e693b08a548,weekday,12,home,other,0.037037037037037035
319ecdb9-0cfa-448c-97af-6bd20de891ba,weekday,12,work,home,0
647c2b52-62db-48ba-9029-10f08306d80d,weekday,12,work,work,1.0
39e02621-5251-4a18-b2cd-207edf9f8bc3,weekday,12,work,shopping,0
24594c00-2013-4e87-8d63-22964c1d8613,weekday,12,work,leisure,0
e262060f-a331-4df3-8833-d1d3a2e362a7,weekday,12,work,other,0
c4546ddb-a99a-454b-9e87-761f89233b82,weekday,12,shopping,home,0.2
55c18a11-9c39-4816-91ce-c22919327fc5,weekday,12,shopping,work,0.2
29c5a001-02ba-4d9f-b708-80c7ade940eb,weekday,12,shopping,shopping,0.2
26fa10f1-ab5a-4793-9084-3ad920b8595d,weekday,12,shopping,leisure,0.2
bf7672ec-71ee-447d-9c8b-05bb4885bc78,weekday,12,shopping,other,0.2
59bf6701-c124-4090-857e-10684c1a295c,weekday,12,leisure,home,0.2
e1b6ab18-f8ee-477d-875a-68c9b30627c3,weekday,12,leisure,work,0.2
83c6f8c8-1bcb-453a-b245-dc4787ad917a,weekday,12,leisure,shopping,0.2
c61ea2bf-33f6-4bb5-85f4-a46dde950d92,weekday,12,leisure,leisure,0.2
a8ee52fa-5058-4fff-81d0-75d2b4b58a67,weekday,12,leisure,other,0.2
1a86bdb1-d2f5-4b08-8099-ce583e95f965,weekday,12,other,home,0
1c7bbcec-aa37-4034-8b23-03e2878d7d64,weekday,12,other,work,0
