uuid,day_type,minute_of_day,probability
79f59811-b85b-42b0-9792-eb39eba8eb9f,weekday,514,4.903242677824268e-05
df07f731-1b8a-4382-9c48-2e3e64758b3d,weekday,515,0.002958289748953975
2fcb5dae-ef95-4846-9126-5a51f64989b1,weekday,516,4.903242677824268e-05
61cade98-be89-47d3-8371-2e5d195b6870,weekday,517,9.806485355648535e-05
8a04a67d-4dff-4369-a739-d43e0b9b7395,weekday,518,6.53765690376569e-05
7c36f9a5-47d0-4862-824d-54ebd47fe5cb,weekday,519,3.268828451882845e-05
8dd0c258-c28a-4ca7-869e-1f40cb32f849,weekday,520,0.005442599372384937
864291f7-cd43-44c2-8230-06e2a3de378e,weekday,521,3.268828451882845e-05
318ab1a3-7229-4f70-9a58-dd86802c6c17,weekday,522,1.6344142259414225e-05
410155a2-707b-4e0c-903c-5b07e7f87d69,weekday,523,4.903242677824268e-05
efa7a4b3-60f2-4523-ac14-e63c506e9a4e,weekday,524,9.806485355648535e-05
e8bed29f-8f7c-46e8-9acd-80ccfb13418d,weekday,525,0.014497254184100418
df644a1a-500b-44f2-a88c-2536f2e00bab,weekday,527,3.268828451882845e-05
d6d46254-0aa2-4924-85ca-31a06297c578,weekday,528,6.53765690376569e-05
fb561322-b71a-43a8-b89b-515b8bfe0d46,weekday,529,3.268828451882845e-05
e0634db3-1dcf-4e3a-963d-fe1b17f4f99b,weekday,530,0.006374215481171548
196d957b-b5aa-43af-8d78-27abcdac4ba7,weekday,532,8.172071129707113e-05
3d2fc5c2-d900-41bd-b04e-b55c23f28f56,weekday,533,9.806485355648535e-05
788ea740-0691-41cf-867f-69bcad6d0d91,weekday,534,3.268828451882845e-05
d7e716e1-6189-4cbc-82b7-85d492247832,weekday,535,0.0026477510460251046
d742da83-9b81-4975-84d3-c82286dd9384,weekday,536,1.6344142259414225e-05
282aef59-9b0b-45e4-a5cb-07e3a13d9aa3,weekday,537,1.6344142259414225e-05
fed35dc3-44ae-486e-9ab9-749c0eaa502e,weekday,538,4.903242677824268e-05
779abe04-ed94-40fb-b8aa-06cdcaba62ab,weekday,539,3.268828451882845e-05
797b8e82-920e-49d9-aea3-2261030b3127,weekday,540,0.03973260983263598
cc8db08b-193d-4b77-818e-f7171f002e04,weekday,541,3.268828451882845e-05
f08bdad4-b882-47ff-bfe5-6feb16a2d1e1,weekday,542,3.268828451882845e-05
5fe9e2e7-2ef8-4400-a468-e135a4e1c32d,weekday,543,6.53765690376569e-05
058bf2b3-f384-4613-aaf6-839d03aa3e7c,weekday,544,1.6344142259414225e-05
23b1a79e-8d8d-40e1-969c-c3dc121345e8,weekday,545,0.002680439330543933
345221f3-634d-4d56-bc2f-741aeaf395c0,weekday,546,3.268828451882845e-05
884dcd8e-1743-493b-8277-422099a9ddd0,weekday,547,6.53765690376569e-05
7cb978b6-7595-4483-9e82-dd5213973fd0,weekday,548,8.172071129707113e-05
916a851f-c9a9-48bb-80e5-4e7db673603f,weekday,549,1.6344142259414225e-05
78edc593-6d27-4440-88a0-a6198a44bf25,weekday,550,0.005557008368200837
f4e0b05e-b40d-4418-9233-a1758c276a5c,weekday,551,3.268828451882845e-05
e6301be3-fa1d-4a23-98ba-08c63327b600,weekday,552,0.00014709728033472804
6351eee5-51ed-41fb-af0c-af585c9d9e1d,weekday,553,4.903242677824268e-05
d48916cf-1523-429a-91ad-5dfa6ac274ff,weekday,554,1.6344142259414225e-05
03bdb975-e6d3-45ca-b698-384bae9ffb46,weekday,555,0.012519612970711297
14dc7207-ebee-4194-9916-b45b03600e48,weekday,556,3.268828451882845e-05
35a1f4f9-4643-454f-bf00-b08e5377b0d1,weekday,557,4.903242677824268e-05
5be8476b-2120-4309-a700-495df2958167,weekday,558,1.6344142259414225e-05
a1d4a3b5-e01e-4ba9-8a2d-3a8d9bd71080,weekday,559,1.6344142259414225e-05
37ee5bc7-f561-42b9-8ffb-22de399b4d71,weekday,560,0.004658080543933054
8ea5ec90-c693-403b-84c7-5a7a9bb0513c,weekday,561,3.268828451882845e-05
045629d5-7683-43e5-9b1e-f4371e0704c0,weekday,562,9.806485355648535e-05
ab88fcdd-8ff4-4826-9fc0-80192f458c39,weekday,563,4.903242677824268e-05
8bbb2a51-c439-40a8-aba6-d175340065ae,weekday,564,1.6344142259414225e-05
bc4af637-84e4-47b1-95e6-ece03d64ec66,weekday,565,0.0021247384937238493
5102f077-bcdb-410d-8e1a-17deb1c8669b,weekday,566,4.903242677824268e-05
5964518a-b56a-4819-9745-8ae7c248b1cd,weekday,567,4.903242677824268e-05
ca015446-733d-49eb-bdd1-ddb68683266e,weekday,568,1.6344142259414225e-05
2dafa547-2bbd-4e60-b24c-c4ab42b2926b,weekday,569,1.6344142259414225e-05
affc2e9d-6e23-4615-9dde-f430fc6591a3,weekday,570,0.03071064330543933
85527731-a8e7-4128-a7f1-868aeed5bade,weekday,571,4.903242677824268e-05
06307ed2-dd8d-46bf-983c-ad7c1a484f79,weekday,572,0.00011440899581589958
c0ba987b-c68b-4b6a-822b-3b120a1bbbf9,weekday,573,4.903242677824268e-05
ea2f22e5-31b0-4a5a-9cca-aa9c9a7824c1,weekday,574,8.172071129707113e-05
78f526ec-767b-4a1f-b0d6-44dba4dbd230,weekday,575,0.0019939853556485356
136128c4-f4f4-404d-a902-031aa3071527,weekday,576,0.00011440899581589958
06284639-a028-4fdf-b1d0-2e74c2619b34,weekday,577,8.172071129707113e-05
5789ba4c-9435-419e-a5ce-b8689db44278,weekday,578,8.172071129707113e-05
437018e5-24d6-4aec-803f-8d15d2c570ca,weekday,580,0.0033832374476987447
96e1a936-2f72-43ad-9cf7-b2d4f7c4cf88,weekday,581,3.268828451882845e-05
